algo,example_id,true_val,result,beta,adaptive,IS_func,accept_rate,up_rate,runtime,iterations,T,K,J,notes
samc,0,0.0032763814358856,,201.0,False,,0.716491,0.027788,33.53117489814758,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716655,0.027772,33.88878798484802,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716976,0.027778,33.93873190879822,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716585,0.02777,34.128326177597046,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716607,0.027777,33.998674154281616,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.717182,0.027779,34.307267904281616,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.717159,0.027778,34.309816122055054,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,201.0,False,,0.716411,0.027773,33.92852520942688,1100000,100000,1000000,1,
samc,0,0.0032763814358856,4.669917525956969e-06,201.0,False,,0.682,0.0273,0.356658935546875,11000,1000,10000,1,
samc,0,0.0032763814358856,1.8947610715874418e-07,201.0,False,,0.6728,0.027,0.3060119152069092,11000,1000,10000,1,
samc,0,0.0032763814358856,4.30068559011776e-06,201.0,False,,0.6703,0.0274,0.343325138092041,11000,1000,10000,1,
samc,0,0.0032763814358856,1.5375297985364e-06,201.0,False,,0.6783,0.0271,0.3417551517486572,11000,1000,10000,1,
samc,0,0.0032763814358856,6.628551398918865e-05,201.0,False,,0.6772,0.0274,0.3164529800415039,11000,1000,10000,1,
samc,0,0.0032763814358856,0.0406161389806082,201.0,False,,0.6674,0.0283,0.3188080787658691,11000,1000,10000,1,
samc,0,0.0032763814358856,0.0019934411481956,201.0,False,,0.6676,0.0277,0.2975637912750244,11000,1000,10000,1,
samc,0,0.0032763814358856,0.0043558410841198,201.0,False,,0.9205,0.0084,0.3325910568237304,11000,1000,10000,1,
samc,0,0.0032763814358856,0.0041609123302217,201.0,False,,0.9202,0.0077,0.3214390277862549,11000,1000,10000,1,
samc,0,0.0032763814358856,0.0042190447518429,201.0,False,,0.9134,0.0081,0.3656160831451416,11000,1000,10000,1,
samc,0,0.0032763814358856,0.004140219291447,201.0,False,,0.9123,0.0076,0.3219342231750488,11000,1000,10000,1,
samc,0,0.0032763814358856,0.0042100756022833,201.0,False,,0.9118,0.008,0.3467867374420166,11000,1000,10000,1,
samc,0,0.0032763814358856,0.0044463903224177,201.0,False,,0.9141,0.009,0.3277840614318847,11000,1000,10000,1,
samc,0,0.0032763814358856,0.004609025448093,201.0,False,,0.9205,0.0096,0.3367197513580322,11000,1000,10000,1,
samc,0,0.0032763814358856,,201.0,False,,0.770487,0.0275,34.778359174728394,1100000,100000,1000000,1,
